date,or_ret,or_range,or_close_pos,or_vol_z
2020-01-01,0.0005407746113509,0.0012453932539012,0.6776360370791605,
2020-01-02,0.0017136625642623,0.0018038553308024,0.990909090909058,
2020-01-03,-0.0020305644806158,0.0022915287133234,0.0818538012320387,
2020-01-06,-0.0026371134914816,0.0040255003452523,0.208161224489788,
2020-01-07,0.0032941020675042,0.0046349174819155,0.875,
2020-01-08,-3.3509818657480904e-05,0.0022702902140464,0.3099594095941044,
2020-01-09,0.0004359602908208,0.003660352246472,0.6764044943820307,
2020-01-10,-0.0012550302753714,0.0017602989234517,0.2037027606353538,
2020-01-13,0.0024233043222765,0.003423515758935,0.9810000000000006,
2020-01-14,-0.0012242202737424,0.0021565796369195,0.3947383260839437,
2020-01-15,-0.0027196927605747,0.0027763531950523,0.0174927623695802,
2020-01-16,0.0019597282283011,0.0022512592520609,0.9964028647584932,
2020-01-17,0.0011680821645866,0.0022875023506639,0.7411321236449382,
2020-01-20,-0.0026061147382713,0.0049789661203394,0.4684975767366748,
2020-01-21,-0.0010574112478176,0.0030984450437306,0.6455009378281906,
2020-01-22,-0.0006875071614477,0.0017433009772306,0.2863802816901155,
2020-01-23,-0.000214532074315,0.0030612076758025,0.6118571428571266,
2020-01-24,-0.0007230324292792,0.0027770620568395,0.0355001050298851,
2020-01-27,-0.0019011948233289,0.0029173714468594,0.258429049356606,
2020-01-28,-0.004014313330317,0.0040801217455682,0.014112903225821,
2020-01-29,0.0004788010407865,0.0014859086453954,0.5277777777777778,
2020-01-30,-0.0045430895084325,0.0055636486799803,0.1789940828402411,
2020-01-31,-0.0040644108681464,0.0041222294735276,0.0140260521042008,
2020-02-01,-0.0027290383069917,0.0054497053308331,0.4976958525345538,
2020-02-03,0.004893108370741,0.0056326642932081,0.9770992366412212,
2020-02-04,0.0011626610414876,0.0036237334183998,0.3255276944442437,
2020-02-05,-0.0014745738830212,0.004690346107689,0.5754892087225516,
2020-02-06,0.0005609784267623,0.0025079486862187,0.4605248009052488,
2020-02-07,-0.0021146693874864,0.0032748494223743,0.3115585717551964,
2020-02-10,-0.0029994876922187,0.0034456912436684,0.0959230313596369,
2020-02-11,0.0016350041288191,0.0025350867052022,0.8697064159818094,
2020-02-12,0.0024360936908465,0.0034483976099946,0.8568022510686157,
2020-02-13,-0.0032643377239629,0.0036734026016525,0.0534521158129099,
2020-02-14,0.0041376253325913,0.0042936072399707,0.9866137667304008,
2020-02-17,0.0018052773450057,0.0035775815878197,0.8479262672810963,
2020-02-18,-0.0029581865565228,0.0039304078635446,0.2410142896103717,
2020-02-19,0.0003641509932561,0.0021435251648488,0.2355173745173489,
2020-02-20,-0.0002310993727302,0.0021954440409376,0.7669210526315966,
2020-02-24,-0.0066560170394036,0.0079622687034078,0.1609204170110663,
2020-02-25,-0.0031823087673216,0.0041672980754659,0.2343434343434416,
2020-02-26,-0.001506913122196,0.0056530760412494,0.7319288131458046,
2020-02-27,-0.0025122311132928,0.0034725497386803,0.2543234567901329,
2020-02-28,-0.0034243869331049,0.006901465522583,0.4834599447074515,
2020-03-02,-0.0025997066775547,0.0067364108830782,0.0,
2020-03-03,0.0070713375517985,0.0077579519698773,0.9241379310344786,
2020-03-04,-0.0051866854526241,0.0053804156393096,0.0261865793780745,
2020-03-05,0.0004510511466651,0.0035111836344821,0.2921896528706461,
2020-03-06,-0.0027182028931861,0.0106074426897252,0.5979295962643685,
2020-03-09,-0.0069060516371624,0.0089722827199791,0.1545643153526939,
2020-03-11,0.0133793295166522,0.0135343203628626,0.9971374353167014,
2020-03-12,-0.0051020408163265,0.0127874564459931,0.6010120669521237,
2020-03-13,-0.0344369546885075,0.0422470002700721,0.0242661448140881,
2020-03-16,-0.0095039445224691,0.0134943093022383,0.2937770228536067,
2020-03-17,-0.0188173637998494,0.0242404497266882,0.0235870048954208,
2020-03-18,-0.0039514980330638,0.0105314528006943,0.1019874476987463,
2020-03-19,-0.0128719450360632,0.0201267483059314,0.1570680628272256,
2020-03-20,0.0058439421536517,0.0199499262877345,0.8111782477341389,
2020-03-23,0.0261640563851019,0.0273695761050387,0.9795402298850584,
2020-03-24,0.017427933621463,0.0241185374704395,0.7260816736224869,
2020-03-25,0.0262219191800264,0.02898940746769,0.9058287958582508,
2020-03-26,-0.0130097928517153,0.0147176832342686,0.0225170888620915,
2020-03-27,0.0031514132153585,0.0120889910780785,0.4759481961147137,
2020-03-30,0.0058305212519399,0.0118924502622421,0.990471414242739,
2020-03-31,-0.0097155778647062,0.0133999481867106,0.2611320094479966,
2020-04-01,-0.008607931835714,0.0119907430065651,0.2191448007774475,
2020-04-03,-0.025216625160275,0.0272581188173185,0.0748948843728117,
2020-04-07,-0.0041583387472205,0.0080172865715479,0.2199261992619872,
2020-04-08,0.0020230582663768,0.0108164649355725,0.6742826780021112,
2020-04-09,-0.0009658047203009,0.0086109232848053,0.6578266494178399,
2020-04-13,-0.0009969279686604,0.0075153876051551,0.8086194302410485,
2020-04-15,-0.0035398210828826,0.0072254571135386,0.3629518072289231,
2020-04-16,-0.00113450244772,0.007544497832795,0.1004497751124536,
2020-04-17,-0.0059014480692946,0.006147028953879,0.0375087229588214,
2020-04-20,-0.0112359311481373,0.0143414782574466,0.1791543026706324,
2020-04-21,0.0007477898655086,0.0057939866616443,0.7887189292543131,
2020-04-22,0.0002536803029983,0.0078762749096887,0.9810126582278432,
2020-04-23,-0.0014559651781662,0.0070089990347729,0.7333848531684654,
2020-04-24,0.0024848917491784,0.0062885199091053,0.922876949740023,
2020-04-27,0.0055327842300532,0.0069375758544286,0.965758754863802,
2020-04-28,-0.0008230382569052,0.0044559056987678,0.5639187574671294,
2020-04-29,0.000868217911006,0.0055206757009503,0.4985563041385982,
2020-04-30,-0.0005843516771917,0.0032549413597966,0.5433070866141733,
2020-05-04,-0.009863811433798,0.0110385741736802,0.038958570885581,
2020-05-05,0.0007504038190042,0.0038792061829883,0.7568306010929086,
2020-05-06,-0.0067812704259213,0.0091161260041559,0.1706302021403127,
2020-05-07,-0.0038062901106744,0.0078602053450261,0.5055716054477885,
2020-05-08,-0.0041280990061432,0.0049149112650619,0.0954446854663687,
2020-05-11,0.0028146481475936,0.0044647249301684,0.8598802395209494,
2020-05-12,-0.0049558517298081,0.0053405077677636,0.0714139971434398,
2020-05-13,-0.0164261339436987,0.0174351946633286,0.0525592785044457,
2020-05-14,0.0021065122903385,0.0049788318293789,0.9041394335512054,
2020-05-15,-0.0091407120626679,0.010211540325998,0.0773415831021977,
2020-05-18,-0.0052602100808683,0.0087779346305897,0.3998756218905445,
2020-05-19,-0.0004904430633586,0.0075409810425322,0.6785185185185347,
2020-05-20,0.0057624826602373,0.0079821972812151,0.9076814658210096,
2020-05-21,0.0018870604244674,0.007040695107625,0.6872556684910033,
2020-05-22,0.0005941580702979,0.007275404942425,0.8848484848484793,
2020-05-26,0.0042516315677329,0.0079299353962879,0.7479224376731415,
2020-05-27,-0.0037788325917704,0.0045914137260146,0.0959232613908898,
2020-05-28,0.0012961313413094,0.0055898997765106,0.9494274809160372,
2020-05-29,0.0019617183761767,0.0072569787415082,0.9802631578947314,
2020-06-01,0.0073721557058449,0.010359229523958,0.9925632126921168,
2020-06-02,-0.0044271070499782,0.0059824130010221,0.2452638700947192,
2020-06-03,0.0043335114653123,0.0058274811851581,0.9728353602116068,
2020-06-04,0.005830671779257,0.0063480593250754,0.9921629971206852,
2020-06-05,0.0006043873294558,0.0036759241828252,0.358487870619942,
2020-06-08,-0.002420299559702,0.004037059665583,0.3788944844124629,
2020-06-09,-6.87396268745105e-05,0.0047044265284909,0.2985407098121188,
2020-06-10,0.0041593869123252,0.0051520806861499,0.9460520231213873,
2020-06-11,-0.0038225490196078,0.0049118538324419,0.2056435597652368,
2020-06-12,0.0105816277523661,0.0151903141037337,0.7024713516498675,
2020-06-15,-0.0009398439435972,0.004752608495061,0.7799915218313027,
2020-06-16,0.001868103215752,0.0046602931039649,0.6291511254019181,
2020-06-17,-0.0026056408630919,0.0034481955455996,0.1145374449339124,
2020-06-18,0.0005252660046422,0.0051563274780032,0.4287118977384648,
2020-06-19,0.0034883047581402,0.0055931617174761,0.9452296819787924,
2020-06-22,-0.0009202038098394,0.0037001782647879,0.7513082494980329,
2020-06-23,0.0026961210645329,0.0047254595002028,0.9815950920245472,
2020-06-24,-0.0008546115790373,0.0030766111802186,0.410495646618377,
2020-06-25,-0.001543491002872,0.004562061622023,0.5631670235545947,
2020-06-26,-0.001319607402566,0.0034772486801637,0.4210542353068319,
2020-06-29,0.0004171290588345,0.0034048483179889,0.6381784563488817,
2020-06-30,0.0006552797488319,0.002235637078995,0.5732777013892342,
2020-07-01,0.0002421542037969,0.0036032448663308,0.7204320441721497,
2020-07-02,0.0016770274519518,0.0030872630947049,0.8271599603702386,
2020-07-03,-0.0015733289368316,0.0030712798530311,0.0582820298097139,
2020-07-06,-0.0018181987880371,0.0029930349279996,0.3208691588785004,
2020-07-07,-0.0028507076150301,0.004516720236542,0.3545081967213018,
2020-07-08,0.0005730129390019,0.0036598890942699,0.7298005050505172,
2020-07-09,-0.0002417123733382,0.0018127730779957,0.5230717948717751,
2020-07-10,0.0024628710799724,0.0027881559395914,0.95,
2020-07-13,0.001207284266665,0.001861604691466,0.8762370110743098,
2020-07-14,-0.002676042073182,0.0039675809778669,0.2974222422066499,
2020-07-15,0.0002524073069947,0.0021315277751809,0.6973653624325932,
2020-07-16,-0.0079284294232364,0.0093945911992994,0.149105219577317,
2020-07-17,0.0036445698559833,0.0047230677687179,0.8917320703387212,
2020-07-20,-0.0028963664030249,0.005229811738272,0.434027024258641,
2020-07-21,0.0006650967985475,0.0018874368607431,0.5666666666666493,
2020-07-22,-0.0085914477257146,0.0097221445678012,0.0613561709192575,
2020-07-23,0.0025054419305792,0.0054957794275739,0.9901976964014768,
2020-07-24,-0.0006903538736025,0.0027076127204425,0.7417243103453959,
2020-07-27,-0.0015052326875973,0.0044088176352705,0.6181818181818255,
2020-07-28,0.0020699199999096,0.0037634746168287,0.7523833333333252,
2020-07-29,0.0043825797281964,0.0049858409406208,0.8914588815994262,
2020-07-30,0.0006127940799899,0.0026465510585933,0.6275155285755868,
2020-07-31,-0.0068229358987237,0.0074603327748729,0.0445235192822091,
2020-08-03,-0.0061748485670372,0.0065455202965373,0.0151933701657509,
2020-08-04,0.0019370191692706,0.0026771101730533,0.7781562394410901,
2020-08-05,0.0023926107352779,0.0040235048839857,0.926505404243663,
2020-08-06,-0.00313513223827,0.0061094973963218,0.4868428554929016,
2020-08-07,-0.001464987896058,0.0047165087050121,0.6874994081428183,
2020-08-10,0.0016766378354402,0.0031403858948768,0.8559293785310816,
2020-08-11,0.0031355992085924,0.0034624081401922,0.9464285714285632,
2020-08-12,-0.0032134788690002,0.0044970963686903,0.2854325089911219,
2020-08-13,0.0013321188606676,0.0033523298988331,0.7789499999999909,
2020-08-14,7.929837614358332e-05,0.0023874969375506,0.8376383763837795,
